task,type,result,fold,params
Flowers102,classification,0.48,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/Food101.json'}
Flowers102,classification,0.26,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/GTSRB.json'}
Flowers102,classification,0.22666666666666666,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/KMNIST.json'}
Flowers102,classification,0.23333333333333334,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/LFWPeople.json'}
Flowers102,classification,0.48,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/Omniglot.json'}
Flowers102,classification,0.08666666666666667,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/default.json'}
Food101,classification,0.12,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/country211.json'}
Food101,classification,0.1,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/DTD.json'}
Food101,classification,0.1,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/FashionMNIST.json'}
Food101,classification,0.09333333333333334,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/FGVCAircraft.json'}
Food101,classification,0.12,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/Flowers102.json'}
Food101,classification,0.12,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/Food101.json'}
Food101,classification,0.11333333333333333,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/GTSRB.json'}
Food101,classification,0.08666666666666667,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/KMNIST.json'}
Food101,classification,0.07333333333333333,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/LFWPeople.json'}
Food101,classification,0.12,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/Omniglot.json'}
Food101,classification,0.02666666666666667,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/default.json'}
GTSRB,classification,0.26666666666666666,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/country211.json'}
GTSRB,classification,0.29333333333333333,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/DTD.json'}
GTSRB,classification,0.26666666666666666,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/FashionMNIST.json'}
GTSRB,classification,0.32,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/FGVCAircraft.json'}
GTSRB,classification,0.26666666666666666,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/Flowers102.json'}
GTSRB,classification,0.26666666666666666,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/Food101.json'}
GTSRB,classification,0.24666666666666667,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/GTSRB.json'}
GTSRB,classification,0.32,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/KMNIST.json'}
GTSRB,classification,0.3,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/LFWPeople.json'}
GTSRB,classification,0.26666666666666666,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/Omniglot.json'}
GTSRB,classification,0.19333333333333333,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/default.json'}
KMNIST,classification,0.44666666666666666,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/country211.json'}
KMNIST,classification,0.46,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/DTD.json'}
KMNIST,classification,0.47333333333333333,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/FashionMNIST.json'}
KMNIST,classification,0.48,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/FGVCAircraft.json'}
KMNIST,classification,0.44666666666666666,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/Flowers102.json'}
KMNIST,classification,0.44666666666666666,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/Food101.json'}
KMNIST,classification,0.5133333333333333,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/GTSRB.json'}
KMNIST,classification,0.47333333333333333,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/KMNIST.json'}
KMNIST,classification,0.48,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/LFWPeople.json'}
KMNIST,classification,0.44666666666666666,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/Omniglot.json'}
KMNIST,classification,0.32666666666666666,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/default.json'}
LFWPeople,classification,0.013333333333333334,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/country211.json'}
LFWPeople,classification,0.02,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/DTD.json'}
